"trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	textbox.started	textbox.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	block_type	learning_type	trial_type	image_path	x_image	trial	person.started	person.stopped	text.started	text.stopped	text_2.started	text_2.stopped	key_resp.keys	key_resp.started	key_resp.stopped	text_4.started	text_4.stopped	line.started	line.stopped	text_5.started	text_5.stopped	reward_a	reward_d	reward	image.started	image.stopped	text_3.started	text_3.stopped	line_2.started	line_2.stopped	text_6.started	text_6.stopped	key_resp.rt	session	exp_id	age	sex(M or F)	date	expName	psychopyVersion	frameRate"
"34	0	34	0							Social	UD	Observational	images/Observational_trial.png	-0.5	35	219.1765352	None	220.1757478	221.4403876	220.9246934	221.4239823	None	223.1923099	None	221.9235457	222.9391044	218.6933205	None	219.1765352	None	0.3	0.7	?	223.2065519	None	223.6885024	225.2038319	223.2065519	None	223.2065519	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"35	0	35	0							Social	UD	Observational	images/Observational_trial.png	-0.5	36	225.7239414	None	226.7191358	227.9681087	227.4682367	227.9681087	None	229.733057	None	228.4676504	229.4833011	225.2220458	None	225.7239414	None	0.3	0.7	?	229.7373853	None	230.2323111	None	229.7373853	None	229.7373853	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"36	0	36	0							Social	UD	Private	images/Private_trial.png	0.5	37	232.2473069	None	233.246527	234.5116867	233.9961932	234.5116867	a	234.4947153	None	None	None	231.7509691	None	232.2473069	None	0.3	0.7	-1	234.8943515	None	235.3772074	None	234.8943515	None	234.8943515	None	0.364956156	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"37	0	37	0							Social	UD	Observational	images/Observational_trial.png	-0.5	38	237.3925733	None	238.4276994	239.690804	239.1420384	239.6409038	None	241.4053982	None	240.1421356	241.1552315	236.8969281	None	237.3925733	None	0.3	0.7	?	241.4175914	None	241.9047333	None	241.4175914	None	241.4175914	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"38	0	38	0							Social	UD	Private	images/Private_trial.png	0.5	39	243.9232775	None	244.9209249	246.1842744	245.6681393	246.1677206	a	246.1677206	None	None	None	243.4233174	None	243.9232775	None	0.3	0.7	-1	246.5936118	None	247.0941953	None	246.5936118	None	246.5936118	None	0.39727534	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"39	0	39	0							Social	UD	Observational	images/Observational_trial.png	-0.5	40	249.11494	None	250.1141937	251.3797176	250.8632096	251.3797176	None	253.1275574	None	251.8646101	252.8778755	248.6252384	None	249.11494	None	0.3	0.7	?	253.1407055	None	253.6364194	None	253.1407055	None	253.1407055	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"40	0	40	0							Social	SD	Observational	images/Observational_trial.png	-0.5	41	255.6506176	None	256.6412416	257.8904416	257.3901852	257.8904416	None	259.6550098	None	258.393399	259.4054361	255.1448386	None	255.6506176	None	0.3	0.7	?	259.6683179	None	260.1638229	None	259.6683179	None	259.6683179	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"41	0	41	0							Social	SD	Private	images/Private_trial.png	0.5	42	262.1860471	None	263.1853806	264.4486918	263.9342934	264.4486918	d	264.4486918	None	None	None	261.6996289	None	262.1860471	None	0.3	0.7	1	264.891477	None	265.3674901	266.886954	264.891477	None	264.891477	None	0.380374218	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"42	0	42	0							Social	SD	Observational	images/Observational_trial.png	-0.5	43	267.41444	None	268.4155181	269.6789356	269.1627693	269.6623726	None	271.4269792	None	270.1622652	271.1776579	266.9085954	None	267.41444	None	0.3	0.7	?	271.4390341	None	271.9197772	273.4260086	271.4390341	None	271.4390341	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"43	0	43	0							Social	SD	Private	images/Private_trial.png	0.5	44	273.9670373	None	274.9575127	276.2226278	275.7098831	276.2226278	d	276.2058464	None	None	None	273.4645887	None	273.9670373	None	0.3	0.7	1	276.6215521	None	277.1050907	None	276.6215521	None	276.6215521	None	0.360340654	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"44	0	44	0							Social	SD	Private	images/Private_trial.png	0.5	45	279.1137003	None	280.1028538	281.3680582	280.8518575	281.3511215	d	281.3680582	None	None	None	278.6208473	None	279.1137003	None	0.3	0.7	1	281.7389383	None	282.2337966	None	281.7389383	None	281.7389383	None	0.347749651	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"45	0	45	0							Social	SD	Private	images/Private_trial.png	0.5	46	284.2410677	None	285.2311888	286.4964658	285.9803236	286.4797776	d	286.4797776	None	None	None	283.748916	None	284.2410677	None	0.3	0.7	1	286.6509289	None	287.144024	288.6444428	286.6509289	None	286.6509289	None	0.135511202	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"46	0	46	0							Social	SD	Observational	images/Observational_trial.png	-0.5	47	289.1608192	None	290.1600548	291.4256372	290.9090794	291.4256372	None	293.175794	None	291.9103704	292.9237026	288.666501	None	289.1608192	None	0.3	0.7	?	293.2159062	None	293.6901593	None	293.2159062	None	293.2159062	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"47	0	47	0							Social	SD	Private	images/Private_trial.png	0.5	48	295.7097606	None	296.7038616	297.9678507	297.452723	297.9678507	d	297.9678507	None	299.2668169	None	295.2082345	None	295.7097606	None	0.3	0.7	-1	299.3067486	None	299.7840381	None	299.3067486	None	299.3067486	None	1.281482839	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"48	0	48	0							Social	SD	Observational	images/Observational_trial.png	-0.5	49	301.8008073	None	302.7980987	304.0630846	303.549709	304.0630846	None	305.8115932	None	304.548653	305.5619847	301.3049779	None	301.8008073	None	0.3	0.7	?	305.8269354	None	306.3112065	None	305.8269354	None	305.8269354	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"49	0	49	0							Social	SD	Observational	images/Observational_trial.png	-0.5	50	308.3269094	None	309.32836	310.5909396	310.0757973	310.5743047	None	312.3389366	None	311.0734885	312.0724487	307.8285275	None	308.3269094	None	0.3	0.7	?	312.3531652	None	312.8384112	None	312.3531652	None	312.3531652	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"50	0	50	0							Social	SD	Observational	images/Observational_trial.png	-0.5	51	314.8369186	None	315.8354154	317.0843097	316.5850022	317.0843097	None	318.8499256	None	317.5839043	318.5831545	314.3536953	None	314.8369186	None	0.3	0.7	?	318.8674198	None	319.3515573	320.864405	318.8674198	None	318.8674198	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"51	0	51	0							Social	SD	Private	images/Private_trial.png	0.5	52	321.3839634	None	322.3793688	323.6284661	323.1288912	323.6284661	d	323.6284661	None	None	None	320.8951839	None	321.3839634	None	0.3	0.7	1	323.8751894	None	324.3609909	None	323.8751894	None	323.8751894	None	0.21250077	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"52	0	52	0							Social	SD	Private	images/Private_trial.png	0.5	53	326.3762964	None	327.374826	328.6239331	328.1243294	328.6239331	d	328.6239331	None	None	None	325.8784838	None	326.3762964	None	0.3	0.7	1	328.9692895	None	329.4564808	None	328.9692895	None	328.9692895	None	0.310203804	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"53	0	53	0							Social	SD	Observational	images/Observational_trial.png	-0.5	54	331.473536	None	332.4701768	333.735613	333.2193065	333.7189652	None	335.4841608	None	334.2186092	335.217362	330.9820903	None	331.473536	None	0.3	0.7	?	335.5116602	None	336.0000205	None	335.5116602	None	335.5116602	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"54	0	54	0							Social	SD	Observational	images/Observational_trial.png	-0.5	55	337.9986821	None	338.9978698	340.2654248	339.7473389	340.2654248	None	342.0113761	None	340.7460498	341.7648602	337.5152474	None	337.9986821	None	0.3	0.7	?	342.0256608	None	342.5106113	None	342.0256608	None	342.0256608	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"55	0	55	0							Social	SD	Private	images/Private_trial.png	0.5	56	344.5276535	None	345.5257766	346.7899936	346.2738333	346.7732865	d	346.7732865	None	None	None	344.0314892	None	344.5276535	None	0.3	0.7	-1	347.2733446	None	347.7559022	None	347.2733446	None	347.2733446	None	0.456653466	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"56	0	56	0							Social	SD	Private	images/Private_trial.png	0.5	57	349.7550588	None	350.752797	352.0182408	351.5022684	352.0182408	d	352.0016095	None	352.6860225	None	349.2711026	None	349.7550588	None	0.3	0.7	1	352.7183011	None	353.2017409	None	352.7183011	None	352.7183011	None	0.663714241	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"57	0	57	0							Social	SD	Private	images/Private_trial.png	0.5	58	355.1999647	None	356.1979507	357.4635418	356.9479459	357.4635418	d	357.4466402	None	358.0026295	None	354.7161851	None	355.1999647	None	0.3	0.7	1	358.0255415	None	358.5123524	360.0149902	358.0255415	None	358.0255415	None	0.532127185	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"58	0	58	0							Social	SD	Observational	images/Observational_trial.png	-0.5	59	360.5645183	None	361.5599004	362.8251466	362.3089882	362.8083202	None	364.5737951	None	363.3090111	364.3238785	360.0669783	None	360.5645183	None	0.3	0.7	?	364.5918447	None	365.0730978	None	364.5918447	None	364.5918447	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"59	0	59	0							Social	SD	Private	images/Private_trial.png	0.5	60	367.0909933	None	368.0888544	369.3520894	368.8412209	369.3520894	d	369.335756	None	372.2164695	None	366.5913485	None	367.0909933	None	0.3	0.7	1	372.2286777	None	372.7158695	None	372.2286777	None	372.2286777	None	2.863703811	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"60	0	60	0							Social	SD	Private	images/Private_trial.png	0.5	61	374.7143019	None	375.7132846	376.9785343	376.4623779	376.962052	d	376.962052	None	377.9278254	None	374.2310197	None	374.7143019	None	0.3	0.7	1	377.9416988	None	378.4272135	None	377.9416988	None	377.9416988	None	0.944797673	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"61	0	61	0							Social	SD	Observational	images/Observational_trial.png	-0.5	62	380.4426647	None	381.4407562	382.6896895	382.1902343	382.6896895	None	384.455072	None	383.189607	384.205215	379.9515422	None	380.4426647	None	0.3	0.7	?	384.4789452	None	384.9714011	None	384.4789452	None	384.4789452	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"62	0	62	0							Social	SD	Observational	images/Observational_trial.png	-0.5	63	386.9863056	None	387.984772	389.2341241	388.7346345	389.2341241	None	391.0019776	None	389.7339886	390.7352271	386.4885523	None	386.9863056	None	0.3	0.7	?	391.0262672	None	391.4983127	393.0144154	391.0262672	None	391.0262672	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"63	0	63	0							Social	SD	Private	images/Private_trial.png	0.5	64	393.5295273	None	394.5291587	395.7933015	395.2789655	395.7933015	d	395.7933015	None	None	None	393.0417027	None	393.5295273	None	0.3	0.7	-1	396.1231426	None	396.5935798	None	396.1231426	None	396.1231426	None	0.263848483	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"64	0	64	0							Social	SD	Observational	images/Observational_trial.png	-0.5	65	398.6081485	None	399.6079497	400.8735559	400.3586403	400.8735559	None	402.6215268	None	401.358747	402.3711586	398.1175557	None	398.6081485	None	0.3	0.7	?	402.704675	None	403.1723451	None	402.704675	None	402.704675	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
