trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,textbox.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,block_type,learning_type,trial_type,image_path,x_image,trial,person.started,person.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,line.started,line.stopped,text_5.started,text_5.stopped,reward_a,reward_d,reward,image.started,image.stopped,text_3.started,text_3.stopped,line_2.started,line_2.stopped,text_6.started,text_6.stopped,key_resp.rt,session,exp_id,age,sex(M or F),date,expName,psychopyVersion,frameRate,
40,0,40,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,41,266.78271768133163,None,267.7812251357632,269.0300733314739,268.53066236944187,269.0300733314739,a,269.0300733314739,None,None,None,266.2992794852812,None,266.78271768133163,None,0.7,0.30000000000000004,1,269.27049800770055,None,269.7628128597539,None,269.27049800770055,None,269.27049800770055,None,0.2131661640155471,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
41,0,41,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,42,271.7611765114889,None,272.7603705842894,274.0252835955098,273.50946016309763,274.00853097644404,a,274.00853097644404,None,None,None,271.2779836491595,None,271.7611765114889,None,0.7,0.30000000000000004,-1,274.3990133712805,None,274.8913673345064,None,274.3990133712805,None,274.3990133712805,None,0.36735188914872197,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
42,0,42,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,43,276.88967607257473,None,277.8923806694411,279.1539514531578,278.63757453838934,279.137320908359,a,279.137320908359,None,279.8534590079353,None,276.4067368402757,None,276.88967607257473,None,0.7,0.30000000000000004,1,279.8611636324563,None,280.3529498910816,None,279.8611636324563,None,279.8611636324563,None,0.6991398702457445,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
43,0,43,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,44,282.3514656418224,None,283.3503685536689,284.6156442321294,284.0993984780621,284.59902040339057,a,284.59902040339057,None,285.3484630494232,None,281.86809184093545,None,282.3514656418224,None,0.7,0.30000000000000004,1,285.3528878662919,None,285.8477405988988,None,285.3528878662919,None,285.3528878662919,None,0.7314263410194144,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
44,0,44,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,45,287.8456459783047,None,288.8449206438254,290.1104072855819,289.59425950697823,290.093765679037,a,290.093765679037,None,292.0250950322489,None,287.36310141329614,None,287.8456459783047,None,0.7,0.30000000000000004,-1,292.03195856902084,None,292.52508448408435,None,292.03195856902084,None,292.03195856902084,None,1.9021738701017057,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
45,0,45,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,46,294.5233742591595,None,295.521993911299,296.78760302238516,296.2717116392482,296.77096576152644,a,296.77096576152644,None,None,None,294.04003917438285,None,294.5233742591595,None,0.7,0.30000000000000004,-1,297.2304454011978,None,297.72008844655966,None,297.2304454011978,None,297.2304454011978,None,0.4283981090738962,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
46,0,46,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,47,299.7183596537043,None,300.7170405405086,301.9828791828213,301.4664635519425,301.9664544655084,a,301.9664544655084,None,None,None,299.23552432280394,None,299.7183596537043,None,0.7,0.30000000000000004,-1,302.343243604138,None,302.83184328982634,304.34784173486105,302.343243604138,None,302.343243604138,None,0.3282999755851961,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
47,0,47,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,48,304.863236919683,None,305.86251672101434,307.1279330416719,306.61195000406906,307.1111760769204,a,307.1111760769204,None,None,None,304.3667549499337,None,304.863236919683,None,0.7,0.30000000000000004,1,307.5820465494071,None,308.0772532578817,None,307.5820465494071,None,307.5820465494071,None,0.44798253508361086,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
48,0,48,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,49,310.07562007011575,None,311.07427883342825,312.33969278371205,311.8238574994293,312.3233549801166,a,312.3233549801166,None,312.8392075286243,None,309.5925765413558,None,310.07562007011575,None,0.7,0.30000000000000004,1,312.84242582506795,None,313.3387209303246,None,312.84242582506795,None,312.84242582506795,None,0.4882417591970807,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
49,0,49,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,50,315.3535322129892,None,316.3528550761166,317.60157487656306,317.10196638335447,317.60157487656306,a,317.60157487656306,None,None,None,314.8570419469306,None,315.3535322129892,None,0.7,0.30000000000000004,1,317.88904910862084,None,318.3840689526028,None,317.88904910862084,None,317.88904910862084,None,0.262178389615201,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
50,0,50,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,51,320.38213907300997,None,321.38126677533546,322.63036109489167,322.13080593510085,322.63036109489167,a,322.63036109489167,None,None,None,319.89956408820035,None,320.38213907300997,None,0.7,0.30000000000000004,1,322.9344164889544,None,323.429238406698,None,322.9344164889544,None,322.9344164889544,None,0.27909653980668736,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
51,0,51,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,52,325.4279532688647,None,326.4270473908896,327.69210025418306,327.1759224508405,327.6754136105301,a,327.6754136105301,None,328.37511079523716,None,324.9445873692248,None,325.4279532688647,None,0.7,0.30000000000000004,-1,328.3905965678564,None,328.8743658261583,None,328.3905965678564,None,328.3905965678564,None,0.6739708428181075,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
52,0,52,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,53,330.8891905409432,None,331.88842293479183,333.1371360191779,332.6373671306542,333.1371360191779,a,333.1371360191779,None,None,None,330.39243005223534,None,330.8891905409432,None,0.7,0.30000000000000004,-1,333.4562669926195,None,333.9362586647053,335.4514318244851,333.4562669926195,None,333.4562669926195,None,0.29397853863292767,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
