"trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	textbox.started	textbox.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	block_type	learning_type	trial_type	image_path	x_image	trial	person.started	person.stopped	text.started	text.stopped	text_2.started	text_2.stopped	key_resp.keys	key_resp.rt	key_resp.started	key_resp.stopped	text_4.started	text_4.stopped	line.started	line.stopped	text_5.started	text_5.stopped	reward_a	reward_d	reward	image.started	image.stopped	text_3.started	text_3.stopped	line_2.started	line_2.stopped	text_6.started	text_6.stopped	session	exp_id	age	sex(M or F)	date	expName	psychopyVersion	frameRate"
"41	0	41	0							Social	SD	Private	images/Private_trial.png	0.5	42	287.3186791	None	288.3110737	289.5804811	289.0596408	289.5623379	a	0.834551044	289.5623379	None	290.4286175	None	286.8288977	None	287.3186791	None	0.7	0.3	-1	290.4603935	None	290.958278	None	290.4603935	None	290.4603935	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"42	0	42	0							Social	SD	Observational	images/Observational_trial.png	-0.5	43	292.9641261	None	293.9743423	295.2371755	294.721123	295.2205071	None		296.9895699	None	295.7200089	296.7197004	292.4779149	None	292.9641261	None	0.7	0.3	?	297.0489991	None	297.5185292	None	297.0489991	None	297.0489991	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"43	0	43	0							Social	SD	Private	images/Private_trial.png	0.5	44	299.5228614	None	300.5310001	301.7812217	301.2650665	301.7654465	d	1.49755694	301.7654465	None	303.2808764	None	299.0262127	None	299.5228614	None	0.7	0.3	-1	303.3311602	None	303.8125647	None	303.3311602	None	303.3311602	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"44	0	44	0							Social	SD	Private	images/Private_trial.png	0.5	45	305.7944132	None	306.7930901	308.0425446	307.5424296	308.0425446	d	3.409402146	308.0425446	None	311.4734755	None	305.3112855	None	305.7944132	None	0.7	0.3	-1	311.4997717	None	311.9717499	313.4870527	311.4997717	None	311.4997717	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"45	0	45	0							Social	SD	Private	images/Private_trial.png	0.5	46	314.00301	None	315.0021918	316.2510355	315.754209	316.2699652	a	2.27900778	316.2510355	None	318.5494569	None	313.5125033	None	314.00301	None	0.7	0.3	1	318.5841943	None	319.0649382	320.5644381	318.5841943	None	318.5841943	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"46	0	46	0							Social	SD	Observational	images/Observational_trial.png	-0.5	47	321.1288299	None	322.1119979	323.3615721	322.8694618	323.3782294	None		325.1279706	None	323.8607649	324.8598148	320.6201643	None	321.1288299	None	0.7	0.3	?	325.1650033	None	325.6492443	None	325.1650033	None	325.1650033	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"47	0	47	0							Social	SD	Observational	images/Observational_trial.png	-0.5	48	327.6594345	None	328.6593042	329.9221812	329.4059805	329.9061599	None		331.6701549	None	330.4057775	331.4204295	327.1619562	None	327.6594345	None	0.7	0.3	?	331.6783631	None	332.1693581	333.6684783	331.6783631	None	331.6783631	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"48	0	48	0							Social	SD	Private	images/Private_trial.png	0.5	49	334.1960208	None	335.1839603	336.4349998	335.9350065	336.4349998	a	2.998211557	336.4349998	None	339.455375	None	333.6983169	None	334.1960208	None	0.7	0.3	1	339.4661784	None	339.962257	None	339.4661784	None	339.4661784	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"49	0	49	0							Social	SD	Private	images/Private_trial.png	0.5	50	341.9783408	None	342.9783775	344.2543666	343.7275625	344.2543666	a	3.770413613	344.224831	None	348.0216252	None	341.4888249	None	341.9783408	None	0.7	0.3	1	348.0464651	None	348.521135	350.0218026	348.0464651	None	348.0464651	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"50	0	50	0							Social	SD	Observational	images/Observational_trial.png	-0.5	51	350.5671415	None	351.551552	352.8169673	352.3007097	352.8005169	None		354.5726644	None	353.3084162	354.3319302	350.0611863	None	350.5671415	None	0.7	0.3	?	354.6497504	None	355.1323851	None	354.6497504	None	354.6497504	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
